,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
0, Backend Engineer - SaaS Platform , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  Golang "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno • Na dálku •Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
1, SW Engineer-Scala/Go: Realtime Detection , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  scala "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno • Na dálku •Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
2, Senior Java Developer (Big Data) , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno • Na dálku •Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
3, Kotlin Developer ," Onlio, a.s. ", 46.2k  - 92.4k  CZK ,," Kategorie:  Backend ,  java ", Mid ,Pracovní jazyk:Čeština," Hybrid  +1 •Praha 7, U garáží 1611/1 40% na místě, 60% na dálku  ",
4, Java Developer , Neovia , 140k  - 200k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Čeština, Hybrid  +1 •Praha ,
5, Node.js Backend Mid Developer , Viable One s.r.o. , 100k  - 170k  CZK ,," Kategorie:  Backend ,  node.js "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Praha, Jankovcova 1603/47a ",
6, Senior Python Developer , Comfort Finance Group , 80k  - 120k  CZK ,," Kategorie:  Backend ,  python "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Prague, Vinohradská 2396/184 ",
7, Senior PHP Engineer , ShipMonk , 80k  - 150k  CZK ,," Kategorie:  Backend ,  php ", Senior ,Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Rohanske nabrezi 23 40% na místě, 60% na dálku  ",
8, Django backend Developer , RES-Q Global , 55k  - 80k  CZK ,," Kategorie:  Backend ,  python "," Mid, Senior ","Pracovní jazyk:Angličtina, Čeština"," Brno, Božetěchova 62 •Brno, Božetěchova 62 ",
9, Team Lead Backend Development (m/f/d) , PlanRadar , 126.5k  - 189.7k  CZK ,," Kategorie:  Backend ,  ruby on rails ", Expert ,Pracovní jazyk:Angličtina," Hybrid  +1 •Vienna, Kärntner Ring 5-7 ",
10, NodeJS Backend Developer 🔥 , Dayswaps , 67.2k  - 117.6k  CZK ,10k CZK," Kategorie:  Backend ,  node ", Mid ,"Pracovní jazyk:Čeština, Slovenština"," Hybrid  +1 •Prague, Na Zderaze 5 ",
11, Backend Developer ," PECOSTA, a.s. ", 60k  - 90k  CZK ,," Kategorie:  Backend ,  .net "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Ostrava, Nemocniční 987/12 ",
12, Backend Developer , wpj s.r.o. , 40k  - 70k  CZK ,," Kategorie:  Backend ,  php "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Vrchlabí, Lánovská 1475 ",
13, Java Developer do naší SW factory ," ADASTRA, s.r.o. ", 90k  - 140k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ","Pracovní jazyk:Čeština, Angličtina"," Hybrid  +2 •Praha, Karolínská 706/3•Praha 20% na místě, 80% na dálku  ",
14, PHP Developer (mid/senior) Praha/Brno , 1.Web IT s.r.o. , 50k  - 95k  CZK ,," Kategorie:  Backend ,  php "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +2 •Praha, Drtinova 557/10•Brno, Cyrilská 7 60% na místě, 40% na dálku  ",
15, Senior .NET Engineer , ACTUM Digital , 90k  - 130k  CZK ,," Kategorie:  Backend ,  .net "," Senior, Expert ","Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Praha, Plynární 1617/10 ",
16, Senior Java Cloud Developer , Grape Up , 98.8k  - 150.6k  CZK ,," Kategorie:  Backend ,  java "," Senior, Expert ",Pracovní jazyk:Angličtina, Hybrid  +4 •Prague•Ostrava•Pilsen•Brno ,
17, Software Developer , Actico GmbH , 123.2k  - 154k  CZK , +15% ," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Angličtina," Immenstaad, Ziegelei 5 • Na dálku •Immenstaad, Ziegelei 5 ", Na dálku 
18, Chief Technology Officer , Can Do Consulting SAGL , 103.7k  - 207.5k  CZK ,," Kategorie:  Backend ,  python ", Expert ,Pracovní jazyk:Angličtina,, Na dálku 
19, Remote Senior Back-end Engineer (PHP) , Kilo Health , 98.5k  - 172.5k  CZK ,," Kategorie:  Backend ,  php ", Senior ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv • Na dálku •Vilnus•Berlin•Kyiv ", Na dálku 
20, Senior Backend Developer , Quotebeam , 118.9k  - 164k  CZK ,," Kategorie:  Backend ,  javascript "," Senior, Expert ",Pracovní jazyk:Angličtina,, Na dálku 
21, Backend Engineer , FINN GmbH , 123.2k  - 164.3k  CZK ,," Kategorie:  Backend ,  javascript ", Mid ,Pracovní jazyk:Angličtina," München, Prinzregentenpl. 9 • Na dálku •München, Prinzregentenpl. 9 ", Na dálku 
