,jobTitles,seniority,workLanguage,angličtina,česky,location,remoteAdj,salAvg,category,mainProgLangAdj
55,Software engineer for long term projects ,Mid Advanced,angličtina,True,False,Prague  (Po pandemi) • Prague  ,Hybrid or no remote,115000.0,Backend, python
56,Software Engineer (C++) with Linux OS ,Mid Advanced,angličtina,True,False," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ",Remote,150000.0,Backend,other
57,.NET Developer ,Junior,"česky, angličtina",True,True," Hybrid  +1 • Brno , Nové sady 996/25 ",Hybrid or no remote,52500.0,Backend, net
58,Database Developer ,Junior,"česky, angličtina",True,True," Hybrid  +1 • Brno , Nové sady 996/25 ",Hybrid or no remote,52500.0,Backend,other
59,Java vývojář ,Mid Advanced,česky,False,True," Hybrid  +1 • Praha , jankovcova 49 ",Hybrid or no remote,60000.0,Backend, java
60,Backend Developer ,Mid,angličtina,True,False," Praha, Ostrovni 30 • Remote • Praha , Ostrovni 30 ",Remote,90000.0,Backend, python
61,Remote Python Developer ,Mid,"česky, angličtina",True,True," Praha 5, Drtinova 10 • Remote • Praha 5 , Drtinova 10 ",Remote,85000.0,Backend, python
62,PHP (Nette) Developer - možno i remote ,Mid,"angličtina, česky",True,True,Hybrid  +1 • Brno  ,Hybrid or no remote,60000.0,Backend, php
63,PHP Developer ,Mid Advanced,česky,False,True," Hybrid  +3 • Brno , Cyrilská 7• Praha , Drtinova 10• Liberec  ",Hybrid or no remote,67500.0,Backend, php
65,C++/Python developer ,Mid Advanced,česky,False,True," Hybrid  +5 • Prague , Radlická 10• Brno , Londýnské náměstí 2• Ostrava , Ruská 11• Olomouc , Střední novosadská 767/4• Liberec , Rumunská 655 40% on-site, 60% remotely  ",Hybrid or no remote,67500.0,Backend, python
66,Backend Developer ,Mid,česky,False,True," Brno, Londýnské náměstí 2  (Po pandemi) • Brno , Londýnské náměstí 2 ",Hybrid or no remote,55000.0,Backend, python
67,Python vývojář/ka pro Sklik.cz ,Mid Advanced,česky,False,True," Praha, Brno  (Po pandemi) • Praha , Radlická 10• Brno , Londýnské náměstí 2 ",Hybrid or no remote,75000.0,Backend, python
