,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
266, Regular / Senior Python Developer , hubQuest , 133.2k  - 159.9k  CZK ,,"Backend, python"," Mid, Senior ","Work language:angličtina, polsky"," Warsaw, Mokotowska 1 • Remote • Warsaw , Mokotowska 1 ", Na dálku 
267, Software Developer (.NET) , Apptio , 74.6k  - 117.2k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:angličtina," Hybrid  +1 • Kraków , Aleja Pokoju 18 ",
268, Java Developer , Hitachi Energy , 58.6k  - 90.6k  CZK ,,"Backend, java", Mid ,Work language:angličtina," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
269, Remote Node.js Developer (j. ang) , RST Software Masters , 47.9k  - 95.9k  CZK ,,"Backend, node", Mid ,"Work language:polsky, angličtina"," Świdnica, Wrocław • Remote • Świdnica , Esperantystów 17• Wrocław , Racławicka 2-4 ", Na dálku 
270, Lead .NET Developer , EPAM , 74.6k  - 106.6k  CZK ,,"Backend, .net", Expert ,"Work language:polsky, angličtina"," Katowice, Kraków, Gdańsk  +2 • Remote • Katowice • Kraków • Gdańsk • Wrocław • Warszawa  ", Na dálku 
271, Senior .NET Developer , EPAM , 58.6k  - 90.6k  CZK ,,"Backend, .net", Senior ,"Work language:polsky, angličtina"," Katowice, Kraków, Gdańsk  +2 • Remote • Katowice • Kraków • Gdańsk • Wrocław • Warszawa  ", Na dálku 
272, Senior Ruby Developer , VILMATE , 71.6k  - 107.4k  CZK ,,"Backend, ruby on rails", Senior ,Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
273, .NET Developer , Strikersoft , 35.8k  - 59.6k  CZK ,,"Backend, .net", Mid ,Work language:ukrajinsky," Bucharest, Strada Banul Antonache 40 • Remote • Bucharest , Strada Banul Antonache 40 ", Na dálku 
274, Mulesoft Integration Engineer , Unity Group , 71.5k  - 134.2k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Wrocław, Kraków • Remote • Wrocław , Strzegomska 2-4• Kraków , Armii Krajowej 25 ", Na dálku 
275, Software Integration Engineer , Unity Group , 98.4k  - 134.2k  CZK ,,"Backend, java", Senior ,"Work language:angličtina, polsky"," Wrocław, Kraków • Remote • Wrocław , Strzegomska 2-4• Kraków , Armii Krajowej 25 ", Na dálku 
276, Junior Software Developer , DATAMINERS , 21.3k  - 31.9k  CZK ,,"Backend, javascript", Junior ,"Work language:angličtina, polsky", Hybrid  +1 • Szczecin  ,
277, Senior Elixir Engineer , Propell Minds , 95.4k  - 167.1k  CZK ,,"Backend, Elixir", Senior ,Work language:angličtina,, Na dálku 
278, PHP / Magento Developer (Remote) , Aidalab ltd , 47.7k  - 83.5k  CZK ,,"Backend, php", Junior ,Work language:ukrajinsky,, Na dálku 
279, .NET Core Developer , CSHARK Sp. z o.o. , 71.9k  - 93.2k  CZK ,,"Backend, .net", Mid ,Work language:polsky," Wrocław, Katowice  +1 • Remote • Wrocław , Rynek 36/37• Katowice , Żeliwna 38, 1B• Bielsko - Biała , Mickiewicza 3/8 ", Na dálku 
280," Python Team/Tech Lead, Cyprus ", Consult Business Partner , 200.6k  - 250.8k  CZK ,,"Backend, python"," Senior, Expert ",Work language:angličtina, Larnaka • Larnaka  ,
281," Software Engineer, Backend (Voluum) ", Codewise , 73.5k  - 98k  CZK ,,"Backend, java", Mid ,Work language:polsky," Kraków, Lubicz 17G • Remote • Kraków , Lubicz 17G ", Na dálku 
282, Junior Ruby on Rails Developer , Anadea , 38.1k  - 62k  CZK ,,"Backend, ruby on rails"," Mid, Senior ",Work language:ukrajinsky, Dnipro • Remote • Dnipro  , Na dálku 
283, Remote Backend Engineer , Casumo , 101.1k  - 143.1k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina, Swieqi • Remote • Swieqi  , Na dálku 
284, Remote Engineering Manager , Divante , 107.4k  - 143.2k  CZK ,,"Backend, php", Expert ,"Work language:angličtina, polsky",, Na dálku 
285, Senior PHP Laravel Backend Developer , Digital Seals GmbH , 119.3k  - 226.7k  CZK ,,"Backend, php", Senior ,Work language:angličtina, Berlin • Remote • Berlin  , Na dálku 
286, Remote Senior Software Engineer (Go) , Form3 , 168.5k  - 250.2k  CZK ,,"Backend, golang"," Senior, Expert ",Work language:angličtina, London • Remote • London  , Na dálku 
287, C++ Developer , DocWire , 58.1k  - 116.2k  CZK ,,"Backend, c++"," Mid, Senior ","Work language:polsky, angličtina",, Na dálku 
288, Remote Java Engineer , CDQ , 63.9k  - 106.6k  CZK ,,"Backend, java", Mid ,"Work language:polsky, angličtina"," Wrocław, Rysia 1A / 123 • Remote • Wrocław , Rysia 1A / 123 ", Na dálku 
289, C# Developer , Hitachi ABB Power Grids , 58.6k  - 95.9k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:angličtina," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
290, Remote Mid Java Backend Developer , Vodeno , 58.6k  - 95.9k  CZK ,,"Backend, java", Mid ,Work language:angličtina," Warsaw, Katowice • Remote • Warsaw , Dobra 40• Katowice , Żelazna 2 ", Na dálku 
291, Senior Java Cloud Developer , Grape Up , 100.2k  - 151.9k  CZK ,,"Backend, java"," Senior, Expert ","Work language:angličtina, polsky"," Kraków, Białystok, Wrocław  +2 • Remote • Kraków , ul. Żółkiewskiego 17A• Białystok , ul. Mikołaja Kopernika 95a• Wrocław , Fabryczna 6• Poznań • Gdańsk  ", Na dálku 
292, Backend .NET Developer , pTAG , 53.3k  - 79.9k  CZK ,,"Backend, .net", Mid ,Work language:angličtina," Warszawa, Zielona Góra  (Po pandemi) • Warszawa , Sienkiewicza• Zielona Góra  ", Covid-time na dálku 
293, C#/.NET Developer Warsaw or Remote , Harvey Nash Technology , 85.2k  - 106.6k  CZK ,,"Backend, .net", Mid ,"Work language:angličtina, polsky"," Warsaw, Katowice • Remote • Warsaw • Katowice  ", Na dálku 
294, Senior SQL Developer , pTAG , 101.2k  - 133.2k  CZK ,,"Backend, sql", Senior ,Work language:angličtina," Warszawa, Zielona Góra  (Po pandemi) • Warszawa , Sienkiewicza• Zielona Góra  ", Covid-time na dálku 
295, Backend/Integration Developer Solar Spy , Pragmile , 98.5k  - 134.3k  CZK ,,"Backend, python"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, Al. Jerozolimskie 92 • Remote • Warszawa , Al. Jerozolimskie 92 ", Na dálku 
296, Remote Ruby on Rails Engineer , Recruit-Alliance , 119.3k  - 167.1k  CZK ,,"Backend, ruby on rails"," Mid, Senior ",Work language:angličtina,, Na dálku 
297, Data Engineer , Webinterpret , 85.2k  - 111.9k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina," Warsaw, Inflancka 4a • Remote • Warsaw , Inflancka 4a ", Na dálku 
298, Python Developer , Webinterpret , 85.2k  - 111.9k  CZK ,,"Backend, python"," Mid, Senior ","Work language:angličtina, polsky"," Warsaw, Inflancka 4A • Remote • Warsaw , Inflancka 4A ", Na dálku 
299, (Senior) PHP Developer - 100% remote , Pitney Bowes , 79.9k  - 111.9k  CZK ,,"Backend, php"," Mid, Senior ","Work language:polsky, angličtina"," Bielsko - Biała, Sukiennicza 2 • Remote • Bielsko - Biała , Sukiennicza 2 ", Na dálku 
300, Remote Backend Developer , telXira GmbH , 79.9k  - 133.2k  CZK ,,"Backend, java"," Senior, Expert ",Work language:angličtina, Warsaw • Remote • Warsaw  , Na dálku 
301," Senior Back-end Engineer, Payments Infra ", BRAINLY , 90.6k  - 138.5k  CZK ,,"Backend, Golang", Senior ,Work language:angličtina," Kraków, Zabłocie • Remote • Kraków , Zabłocie ", Na dálku 
302, Engineering Manager - Observability , Sumo Logic , 117.2k  - 159.9k  CZK , +50% ,Backend," Senior, Expert ","Work language:angličtina, polsky"," Warszawa, Gdańsk, Kraków • Remote • Warszawa , Aleja Solidarności 173• Gdańsk • Kraków , Mogliska 43 ", Na dálku 
303, Scalac Junior Academy - Backend (Scala) , Scalac , 16k  CZK ,,"Backend, scala"," Trainee, Junior ",Work language:angličtina," Gdańsk, Czesława Miłosza 9/9 • Remote • Gdańsk , Czesława Miłosza 9/9 ", Na dálku 
304, Scala Developer , Synerise , 63.9k  - 106.6k  CZK ,,"Backend, scala", Mid ,"Work language:polsky, angličtina"," Kraków, Warszawa • Remote • Kraków , Lubostroń 1• Warszawa , Centrum ", Na dálku 
305, Backend (Golang) Team Leader , ScyllaDB , 159.9k  - 223.8k  CZK ,,"Backend, golang", Expert ,Work language:angličtina," Warszawa, Żurawia 26/11 • Remote • Warszawa , Żurawia 26/11 ", Na dálku 
306, Senior Node.js Developer , Startup Development House , 89.5k  - 134.3k  CZK ,,"Backend, node", Senior ,Work language:angličtina, Warsaw • Remote • Warsaw  , Na dálku 
307, Junior Python Developer , Lingaro , 32k  - 62.6k  CZK ,,"Backend, python", Junior ,Work language:angličtina," Warszawa, Lublin • Remote • Warszawa , Domaniewska 28• Lublin , Nałęczowska 14 ", Na dálku 
308, Remote Senior Python Developer , Homeworks , 74.6k  - 127.9k  CZK ,,"Backend, python", Senior ,Work language:angličtina,, Na dálku 
309, Junior Java Developer , Equiqo , 42.6k  - 69.2k  CZK ,,"Backend, java", Junior ,Work language:angličtina," Hybrid  +1 • Wroclaw , Plac Wolnosci 7 40% on-site, 60% remotely  ",
310, C++ Software Engineer , ScyllaDB , 90.6k  - 154.5k  CZK ,,"Backend, c++"," Mid, Senior ",Work language:angličtina," Warsaw, Żurawia 26/11 • Remote • Warsaw , Żurawia 26/11 ", Na dálku 
311, Mid/Senior PHP Developer (Symfony) , Homeworks , 74.6k  - 127.9k  CZK ,,"Backend, php"," Mid, Senior ","Work language:angličtina, polsky",, Na dálku 
312, Junior Java Developer/Junior + , Softwarely , 44.6k  - 62.6k  CZK ,,"Backend, java", Junior ,Work language:angličtina,, Na dálku 
313, Senior Backend Engineer , Bound , 167.2k  - 209k  CZK ,,"Backend, java"," Senior, Expert ",Work language:angličtina, London • Remote • London  , Na dálku 
314," Software Engineer, Backend ", Fathom , 150.3k  - 300.7k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina,, Na dálku 
315, React Tech Lead (7548) , ITjobs.cz , 50k  - 100k  CZK ,,"Frontend, react", Senior ,"Work language:česky, angličtina", Brno • Remote • Brno  , Na dálku 
316, Remote Senior Angular Developer , Habitable.co , 87.7k  CZK ,,"Frontend, angular", Senior ,"Work language:angličtina, česky"," Bratislava, Zochova 5 • Remote • Bratislava , Zochova 5 ", Na dálku 
317, FrontEnd(Typescript/React.js) Tech Lead , Think Easy s.r.o. , 60k  - 100k  CZK , +15% ,"Frontend, typescript"," Senior, Expert ",Work language:česky," Hybrid  +1 • Praha , Žitomírská 599/38 ",
318, IoT Network and Protocol Specialist , Rheinmetall , 125.4k  - 167.2k  CZK ,,Frontend, Mid ,Work language:angličtina, Hybrid  +1 • Düsseldorf  ,
319, Frontend Developer Web Applications , Rheinmetall , 125.4k  - 167.2k  CZK ,,"Frontend, javascript"," Mid, Senior ",Work language:angličtina, Hybrid  +1 • Düsseldorf  ,
320, Angular Developer ," INBRAIT, s.r.o. ", 94.5k  - 126k  CZK ,,"Frontend, angular"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha  40% on-site, 60% remotely  ",
321, JavaScript Full Stack developer , SABO Mobile IT , 80k  - 150k  CZK ,,"Frontend, react", Senior ,"Work language:angličtina, česky", Hybrid  +2 • Prague • Olomouc  ,
322, React Developer Senior , SABO Mobile IT , 89.5k  - 121.1k  CZK ,,"Frontend, react", Senior ,"Work language:angličtina, česky", Hybrid  +2 • Prague • Olomouc  ,
323, Senior Frontend Developer , Ceros , 80k  - 130k  CZK ,,"Frontend, typescript", Senior ,"Work language:česky, angličtina",, Na dálku 
324, React native Developer , Consultech Recruitment Services s.r.o , 120k  - 140k  CZK ,,"Frontend, React Native"," Senior, Expert ",Work language:angličtina," Hybrid  +1 • Prague  80% on-site, 20% remotely  ",
325, React Developer , Retailys.com s.r.o. , 50k  - 100k  CZK ,,"Frontend, react", Junior ,"Work language:česky, angličtina"," Hybrid  +3 • Plzeň • Praha • Klatovy  40% on-site, 60% remotely  ",
326, React Developer , Prague Labs s.r.o. , 55k  - 110k  CZK ,,"Frontend, react"," Mid, Senior ","Work language:česky, angličtina", Hybrid  +1 • Prague  ,
327, Frontend Developer , Lemonero , 50k  - 70k  CZK ,,"Frontend, react", Mid ,"Work language:česky, angličtina"," Hybrid  +1 • Ostrava , Pohraniční 504/27 20% on-site, 80% remotely  ",
328, Frontend React Developer , OAK'S LAB , 70k  - 140k  CZK ,,"Frontend, react", Mid ,Work language:česky," Prague, Old Town Square 604/14  (Po pandemi) • Prague , Old Town Square 604/14 ", Covid-time na dálku 
329, Senior Frontend Developer , Mild blue , 70k  - 130k  CZK ,,"Frontend, angular", Senior ,Work language:česky," Hybrid  +1 • Prague , Plzeňská 168 ",
330, React Developer , profiq s.r.o. , 40k  - 70k  CZK , +10% ,"Frontend, javascript", Mid ,Work language:," Ostrava, Studentská 17  (Po pandemi) • Ostrava , Studentská 17 ", Covid-time na dálku 
331, Junior Developer/ka , profiq s.r.o. , 30k  - 35k  CZK ,,"Frontend, javascript", Junior ,"Work language:česky, angličtina"," Hybrid  +1 • ostrava , studentská 17 60% on-site, 40% remotely  ",
332, React Frontend Developer/ka , profiq s.r.o. , 50k  - 100k  CZK , +10% ,"Frontend, react"," Mid, Senior ",Work language:česky," Hybrid  +2 • Ostrava , Studentská 17• Praha , Veletržní 14 ",
333, Front-end Developer , Retailys.com s.r.o. , 50k  - 100k  CZK ,,"Frontend, react"," Mid, Senior ","Work language:česky, angličtina"," Hybrid  +3 • Plzeň • Praha • Klatovy  40% on-site, 60% remotely  ",
334, Senior React Developer , Andrew Paulsen IT recruitment , 110k  - 140k  CZK , +10% ,"Frontend, react", Senior ,Work language:angličtina," Prague, Brno • Remote • Prague • Brno  ", Na dálku 
335, Remote React Developer , Cleevio , 60k  - 120k  CZK ,,"Frontend, react", Senior ,"Work language:česky, angličtina"," Praha, Brno  (Po pandemi) • Praha , Rašínovo nábřeží 71/10, Vyšehrad• Brno , Lesnická 1802/11 ", Covid-time na dálku 
336, Frontend Engineer - SaaS Platform , SentinelOne , 100k  - 200k  CZK ,,"Frontend, angular"," Mid, Senior ",Work language:angličtina," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ", Na dálku 
337, React/Typescript developer , R4U s.r.o. , 84k  - 136.5k  CZK ,,"Frontend, react", Mid ,Work language:, Praha  (Po pandemi) • Praha  , Covid-time na dálku 
338, Frontend developer for Iot/IIoT projects , R4U s.r.o. , 84k  - 157.5k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:angličtina, Praha  (Po pandemi) • Praha  , Covid-time na dálku 
339," Tech Lead – Javascript, React (FE) ", Novitim , 70k  - 140k  CZK ,,"Frontend, react", Senior ,Work language:česky," Praha, Smíchov • Praha , Smíchov ",
340, Frontend Developer , Seznam.cz , 60k  - 90k  CZK , +10% ,"Frontend, javascript"," Mid, Senior ",Work language:česky," Hybrid  +1 • Brno , Londýnské náměstí 2 20% on-site, 80% remotely  ",
341, Front-end Developer se sympatiemi k CMS ," Etnetera, a.s. ", 35k  - 60k  CZK ,,"Frontend, html&css", Mid ,Work language:česky," Hybrid  +1 • Praha , jankovcova 49 ",
342, Frontend Developer ," Logex Solution Center, s.r.o. ", 35k  - 70k  CZK ,,"Frontend, angular", Junior ,"Work language:česky, angličtina"," Hybrid  +1 • Brno , Nové sady 996/25 ",
343, Frontend Developer Jun-Med 🧫 (VUE/CSS) , mediaform , 42k  - 84k  CZK ,,"Frontend, html&css"," Mid, Senior ","Work language:česky, angličtina"," Hybrid  +1 • Prague , Kamenická 43 ",
344, React Developer , 1. Web IT , 35k  - 70k  CZK ,,"Frontend, react", Mid ,Work language:česky," Hybrid  +1 • Brno , Cyrilská 7 60% on-site, 40% remotely  ",
345, Kodér , 1. Web IT , 25k  - 50k  CZK ,,"Frontend, react", Mid ,Work language:česky," Praha, Brno  (Po pandemi) • Praha , Drtinova 10• Brno , Cyrilská 7 ", Covid-time na dálku 
346, React Developer , Retailys.com s.r.o. , 50k  - 100k  CZK ,,"Frontend, react", Mid ,"Work language:česky, angličtina"," Hybrid  +3 • Plzeň • Praha • Klatovy  40% on-site, 60% remotely  ",
347, Angular Developer , eppTec , 84k  - 147k  CZK ,,"Frontend, angular", Mid ,"Work language:angličtina, česky"," Hybrid  +1 • Prague  40% on-site, 60% remotely  ",
348, Senior Vue.js Developer , Neovia , 126k  - 252k  CZK ,,"Frontend, Vue.js", Senior ,Work language:česky, Hybrid  +1 • Praha  ,
349, Senior Angular developer , Neovia , 147k  - 294k  CZK ,,"Frontend, angular", Senior ,Work language:česky, Hybrid  +1 • Praha  ,
350, Senior Vue.js Developer , Worklio , 80k  - 120k  CZK , +20% ,"Frontend, javascript", Senior ,"Work language:česky, angličtina"," Brno, Bohunická 67 • Remote • Brno , Bohunická 67 ", Na dálku 
351, Frontend Developer , Worklio , 80k  - 120k  CZK , +13% ,"Frontend, javascript", Mid ,Work language:angličtina, Brno • Remote • Brno  , Na dálku 
352, Senior Frontend Developer , Denevy , 105k  - 126k  CZK ,,Frontend, Senior ,Work language:, Praha 5  (Po pandemi) • Praha 5  , Covid-time na dálku 
353, React Developer , Coding Bear , 70k  - 120k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:česky," Praha  (Po pandemi) • Praha • Praha , Budějovická ", Covid-time na dálku 
354, React Developer , Movisio s.r.o. , 50k  - 80k  CZK ,,"Frontend, react"," Mid, Senior ","Work language:česky, angličtina", Hybrid  +1 • Praha  ,
355, Senior Frontend Developer , PowerPlay Studio , 100.3k  - 125.4k  CZK ,,"Frontend, vue.js 3"," Senior, Expert ","Work language:slovensky, angličtina", Hybrid  +1 • Bratislava  ,
356, Principal Frontend Engineer , Dynatrace Sp. z o.o. , 122.6k  - 197.2k  CZK ,,"Frontend, javascript", Expert ,"Work language:angličtina, polsky"," Gdańsk, Grunwaldzka 411  (Po pandemi) • Gdańsk , Grunwaldzka 411 ", Covid-time na dálku 
357, WordPress BlockEditor Frontend Developer , Inpsyde GmbH , 62.7k  - 125.4k  CZK ,,"Frontend, javascript"," Mid, Senior ",Work language:angličtina," Warszawa, Kraków, Wrocław  +2 • Remote • Warszawa • Kraków • Wrocław • Poznań • Katowice  ", Na dálku 
358, Frontend React Developer [Fully Remote] , Exorigo-Upos , 53.3k  - 106.6k  CZK ,,"Frontend, react", Mid ,Work language:angličtina,, Na dálku 
359, Senior Front-end Engineer (React) , Kilo Health , 100.3k  - 188.1k  CZK ,,"Frontend, react", Senior ,Work language:angličtina," Vilnius, Kaunas, Klaipėda  +1 • Remote • Vilnius • Kaunas • Klaipėda • Berlin  ", Na dálku 
360, Remote Frontend (React) Engineer , Impressit , 71.6k  - 95.4k  CZK ,,"Frontend, react", Mid ,"Work language:ukrajinsky, angličtina", Lviv • Remote • Lviv  , Na dálku 
361, Frontend Developer , Hitachi Energy , 53.3k  - 90.6k  CZK ,,"Frontend, javascript"," Mid, Senior ","Work language:angličtina, polsky"," Krakow, Pawia 7  (Po pandemi) • Krakow , Pawia 7 ", Covid-time na dálku 
362, Frontend Developer , Storypoint , 138.5k  - 143.9k  CZK ,,"Frontend, javascript", Mid ,"Work language:ukrajinsky, angličtina",, Na dálku 
363, Remote Mid React Native Mobile Developer , Tuatara , 63.9k  - 95.9k  CZK ,,"Frontend, react", Mid ,"Work language:angličtina, polsky"," Warszawa, Białystok • Remote • Warszawa , Aleje Jerozolimskie 132• Białystok , Świętego Rocha ", Na dálku 
364, React Developer , Hitachi Energy , 69.2k  - 111.9k  CZK ,,"Frontend, javascript", Senior ,"Work language:angličtina, polsky"," Krakow, Pawia 7  (Po pandemi) • Krakow , Pawia 7 ", Covid-time na dálku 
365, Frontend Software Engineer (ReactJS/Vue) , BytePitch Software Labs , 63.9k  - 127.9k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:angličtina," Porto, Łódź • Remote • Porto , Rua de Santos Pousada 441• Łódź , Wólczańska 125 ", Na dálku 
366, Remote Front-end Developer (Angular) , BNY Mellon , 69.2k  - 127.9k  CZK ,,"Frontend, angular"," Mid, Senior ",Work language:angličtina," Wrocław, Trójmiasto, Rzeszów  +16 • Remote • Wrocław , Sucha 2• Trójmiasto • Rzeszów • Poznań • Kraków • Bydgoszcz • Toruń • Lublin • Łódź • Warszawa • Białystok • Częstochowa • Katowice • Kielce • Szczecin • Opole • Olsztyn • Zielona Góra • Gorzów Wielkopolski  ", Na dálku 
367, Frontend Engineer (JavaScript/React) , Cleeng sp. z o.o. , 69.2k  - 85.2k  CZK ,,"Frontend, react", Mid ,"Work language:polsky, angličtina"," Kraków, Warszawa, Wrocław  +2 • Remote • Kraków • Warszawa • Wrocław • Gdańsk • Łódź  ", Na dálku 
368, Middle / Senior Front-End Developer , AVENGA , 125.3k  - 161.1k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:angličtina," Kraków, Warszawa, Gdańsk  +1 • Remote • Kraków • Warszawa • Gdańsk • Wrocław  ", Na dálku 
369, Remote Senior ServiceNow Developer , Infopulse , 89.5k  - 143.1k  CZK ,,Frontend, Senior ,Work language:angličtina," Warszawa, Prosta 20 • Remote • Warszawa , Prosta 20 ", Na dálku 
370, Senior JavaScript Frontend Developer , Monogo , 85.2k  - 111.9k  CZK ,,"Frontend, javascript", Senior ,"Work language:angličtina, polsky"," Lublin, Warszawa, Wrocław  (Po pandemi) • Lublin , Nałęczowska 14• Warszawa , Aleje Jerozolimskie 200• Wrocław , Małachowskiego 5/18 ", Covid-time na dálku 
371, React.js Developer , Anadea , 59.6k  - 93.1k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:ukrajinsky,, Na dálku 
372, Remote Senior React.js Developer , Divante , 98.4k  - 125.3k  CZK ,,"Frontend, react"," Mid, Senior ","Work language:angličtina, polsky"," Wrocław, Dmowskiego 17 • Remote • Wrocław , Dmowskiego 17 ", Na dálku 
373, Junior IT , Frontman s. r. o. , 25k  - 35k  CZK ,,"Frontend, html&css", Junior ,Work language:česky, Brno • Brno  ,
374, Senior Frontend Developer Vue.js , Divante S.A. , 98.4k  - 125.3k  CZK ,,"Frontend, javascript", Senior ,Work language:angličtina," Wrocław, Dmowskiego 17 • Remote • Wrocław , Dmowskiego 17 ", Na dálku 
375, Remote Senior Node.js Developer , Divante , 98.4k  - 134.2k  CZK ,,"Frontend, node", Senior ,"Work language:polsky, angličtina"," Wrocław, Warszawa, Kraków • Remote • Wrocław • Warszawa • Kraków  ", Na dálku 
376, Remote Node.js Developer , Divante , 58.1k  - 98.4k  CZK ,,"Frontend, node", Mid ,"Work language:polsky, angličtina"," Wrocław, Warszawa, Kraków • Remote • Wrocław • Warszawa • Kraków  ", Na dálku 
377, Medior/Senior Frontend Engineer , FLYR Poland sp. z o.o.  , 90.6k  - 130.5k  CZK ,,"Frontend, javascript"," Mid, Senior ","Work language:polsky, angličtina"," Kraków, Dekerta • Remote • Kraków , Dekerta ", Na dálku 
378, Remote Frontend Developer , Invarion Inc. , 74.6k  - 106.6k  CZK ,,"Frontend, javascript", Mid ,"Work language:angličtina, polsky"," Gdańsk, ul. Piastowska 7/213 • Remote • Gdańsk , ul. Piastowska 7/213 ", Na dálku 
379, Senior Angular Developer , Idego Group Sp. z o.o. , 95.9k  - 117.2k  CZK ,,"Frontend, angular", Senior ,"Work language:angličtina, polsky"," Gdynia, Kraków, Warszawa  +2 • Remote • Gdynia , al. Zwycięstwa 96/98• Kraków • Warszawa • Wrocław • Poznań  ", Na dálku 
380, Junior/Mid JavaScript Developer , 4 The Player , 34.6k  - 69.2k  CZK ,,"Frontend, javascript", Junior ,"Work language:angličtina, polsky"," Kraków, Katowice, Wrocław • Remote • Kraków • Katowice • Wrocław  ", Na dálku 
381, Mid VueJS Developer , USEO Sp. z o.o. , 74.6k  - 95.9k  CZK ,,"Frontend, javascript", Mid ,"Work language:polsky, angličtina"," Wrocław, Ofiar Oświęcimskich 17 • Remote • Wrocław , Ofiar Oświęcimskich 17 ", Na dálku 
382, Remote React Developer , Toolla Sp. z o.o. , 74.6k  - 117.2k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:angličtina," Gdańsk, ul. Trzy Lipy 3 • Remote • Gdańsk , ul. Trzy Lipy 3 ", Na dálku 
383, Remote Senior React Developer , Makers' Den , 117.2k  - 141.2k  CZK ,,"Frontend, react", Senior ,Work language:angličtina,, Na dálku 
384, Frontend Developer , AllSTARSIT , 107.4k  - 143.2k  CZK ,,"Frontend, angular", Mid ,Work language:angličtina,, Na dálku 
385, Frontend Developer , OakFusion , 79.9k  - 133.2k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:polsky, Wrocław • Remote • Wrocław  , Na dálku 
386, Frontend Developer , Hop.City , 77.2k  - 117.2k  CZK ,,"Frontend, javascript"," Mid, Senior ","Work language:angličtina, polsky"," Hybrid  +1 • Warsaw , Komitetu Obrony Robotników 56 ",
387, React Developer , CDQ Poland , 63.9k  - 95.9k  CZK ,,"Frontend, react", Mid ,"Work language:polsky, angličtina"," Wrocław, Rysia 1A • Remote • Wrocław , Rysia 1A ", Na dálku 
388, Frontend developer (100% zdalnie) , Webanywhere sp. z o.o. , 53.3k  - 85.2k  CZK ,,"Frontend, angular"," Mid, Senior ",Work language:polsky," Katowice, Żelazna 15 B • Remote • Katowice , Żelazna 15 B ", Na dálku 
389, Frontend Engineer with React (Biotech) , Sigma IT Poland , 116.2k  - 138.7k  CZK ,,"Frontend, react"," Mid, Senior ",Work language:angličtina," Wrocław, Fabryczna 6 • Remote • Wrocław , Fabryczna 6 ", Na dálku 
390, Senior React Developer , Startup Development House , 89.5k  - 134.3k  CZK ,,"Frontend, react", Senior ,"Work language:polsky, angličtina"," Warszawa, Aleja Niepodległości 124/23 • Remote • Warszawa , Aleja Niepodległości 124/23 ", Na dálku 
391, Remote Frontend Developer (React) , Ideamotive , 106.6k  - 149.2k  CZK ,,"Frontend, react", Junior ,"Work language:angličtina, polsky", Warsaw • Remote • Warsaw  , Na dálku 
392, Regular Software Developer , TKH Technology Poland , 62.6k  - 89.5k  CZK ,,"Frontend, c++", Mid ,"Work language:polsky, angličtina"," Poznań, Leszno, Katowice • Remote • Poznań • Leszno • Katowice  ", Na dálku 
393, Frontend Developer , TKH Technology Poland , 58.6k  - 79.9k  CZK ,,"Frontend, javascript", Mid ,"Work language:polsky, angličtina"," Poznań, Leszno, Katowice • Remote • Poznań • Leszno • Katowice  ", Na dálku 
394, Frontend Developer , Jooble , 100.3k  CZK ,,"Frontend, react", Mid ,Work language:angličtina,, Na dálku 
395, Remote Senior FrontEnd SDE (React.js) , Xenoss , 71.6k  - 131.2k  CZK ,,"Frontend, react", Senior ,Work language:ukrajinsky," Київ, Харків, Львів, Дніпро  +1 • Remote • Київ • Харків • Львів • Дніпро • Одеса  ", Na dálku 
396, Angular Developer (praca zdalna) , Finture , 53.3k  - 93.2k  CZK ,,"Frontend, angular"," Mid, Senior ",Work language:polsky," Warszawa, Skierniewicka 10A • Remote • Warszawa , Skierniewicka 10A ", Na dálku 
397, React Native Developer (praca zdalna) , Finture Sp. z o.o. , 95.9k  - 149.2k  CZK ,,"Frontend, react native"," Mid, Senior ","Work language:angličtina, polsky",, Na dálku 
398, Remote Mid/Senior Frontent Developer , Data Lake , 79.9k  - 133.2k  CZK ,,"Frontend, react"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, Postępu 14 • Remote • Warszawa , Postępu 14 ", Na dálku 
